IMAGE,EMO,Unicode,Bytes (UTF-8),Description
💘,123,U+1F498,\xF0\x9F\x92\x98,HEART WITH ARROW
💌,124,U+1F48C,\xF0\x9F\x92\x8C,LOVE LETTER
💋,125,U+1F48B,\xF0\x9F\x92\x8B,KISS MARK
💍,126,U+1F48D,\xF0\x9F\x92\x8D,RING
💏,128,U+1F48F,\xF0\x9F\x92\x8F,KISS
💑,129,U+1F491,\xF0\x9F\x92\x91,COUPLE WITH HEART
🙇,131,U+1F647,\xF0\x9F\x99\x87,PERSON BOWING DEEPLY
💅,135,U+1F485,\xF0\x9F\x92\x85,NAIL POLISH
🙆,136,U+1F646,\xF0\x9F\x99\x86,FACE WITH OK GESTURE
👑,136,U+1F451,\xF0\x9F\x91\x91,CROWN
🙅,137,U+1F645,\xF0\x9F\x99\x85,FACE WITH NO GOOD GESTURE
💁,138,U+1F481,\xF0\x9F\x92\x81,INFORMATION DESK PERSON
🙋,139,U+1F64B,\xF0\x9F\x99\x8B,HAPPY PERSON RAISING ONE HAND
👴,140,U+1F474,\xF0\x9F\x91\xB4,OLDER MAN
👵,141,U+1F475,\xF0\x9F\x91\xB5,OLDER WOMAN
👶,142,U+1F476,\xF0\x9F\x91\xB6,BABY
👦,143,U+1F466,\xF0\x9F\x91\xA6,BOY
👧,144,U+1F467,\xF0\x9F\x91\xA7,GIRL
👨,145,U+1F468,\xF0\x9F\x91\xA8,MAN
👩,146,U+1F469,\xF0\x9F\x91\xA9,WOMAN
🙎,147,U+1F64E,\xF0\x9F\x99\x8E,PERSON WITH POUTING FACE
🙍,148,U+1F64D,\xF0\x9F\x99\x8D,PERSON FROWNING
💆,149,U+1F486,\xF0\x9F\x92\x86,FACE MASSAGE
🌺,150,U+1F33A,\xF0\x9F\x8C\xBA,HIBISCUS
👼,151,U+1F47C,\xF0\x9F\x91\xBC,BABY ANGEL
🌹,152,U+1F339,\xF0\x9F\x8C\xB9,ROSE
💐,157,U+1F490,\xF0\x9F\x92\x90,BOUQUET
🌸,159,U+1F338,\xF0\x9F\x8C\xB8,CHERRY BLOSSOM
🌾,160,U+1F33E,\xF0\x9F\x8C\xBE,EAR OF RICE
🌱,161,U+1F331,\xF0\x9F\x8C\xB1,SEEDLING
🍃,162,U+1F343,\xF0\x9F\x8D\x83,LEAF FLUTTERING IN WIND
⛄️,167,U+26C4,\xE2\x9B\x84,SNOWMAN WITHOUT SNOW
❄️,197,U+2744,\xE2\x9D\x84,SNOWFLAKE
🔐,200,U+1F510,\xF0\x9F\x94\x90,CLOSED LOCK WITH KEY
🎉,201,U+1F389,\xF0\x9F\x8E\x89,PARTY POPPER
💬,202,U+1F4AC,\xF0\x9F\x92\xAC,SPEECH BALLOON
💭,203,U+1F4AD,\xF0\x9F\x92\xAD,THOUGHT BALLOON
👣,204,U+1F463,\xF0\x9F\x91\xA3,FOOTPRINTS
🍍,205,U+1F34D,\xF0\x9F\x8D\x8D,PINEAPPLE
🍊,213,U+1F34A,\xF0\x9F\x8D\x8A,TANGERINE
👙,206,U+1F459,\xF0\x9F\x91\x99,BIKINI
🍌,207,U+1F34C,\xF0\x9F\x8D\x8C,BANANA
🐟,209,U+1F41F,\xF0\x9F\x90\x9F,FISH
🐓,208,U+1F413,\xF0\x9F\x90\x93,ROOSTER
🐧,209,U+1F427,\xF0\x9F\x90\xA7,PENGUIN
🐄,210,U+1F404,\xF0\x9F\x90\x84,COW
🐩,211,U+1F429,\xF0\x9F\x90\xA9,POODLE
🐀,212,U+1F400,\xF0\x9F\x90\x80,RAT
🔮,215,U+1F52E,\xF0\x9F\x94\xAE,CRYSTAL BALL
💰,220,U+1F4B0,\xF0\x9F\x92\xB0,MONEY BAG
💸,221,U+1F4B8,\xF0\x9F\x92\xB8,MONEY WITH WINGS
💉,222,U+1F489,\xF0\x9F\x92\x89,SYRINGE
🍟,230,U+1F35F,\xF0\x9F\x8D\x9F,FRENCH FRIES
🔨,236,U+1F528,\xF0\x9F\x94\xA8,HAMMER
🏀,300,U+1F3C0,\xF0\x9F\x8F\x80,BASKETBALL AND HOOP
🏁,301,U+1F3C1,\xF0\x9F\x8F\x81,CHEQUERED FLAG
